X1,X2,elements,igraph.degree,igraph.closeness,igraph.betweenness,igraph.cen.degree,group,filed,id,links,nodes,label
-3.0159106026357034,-9.98998732995812,compounds_C00064,1,1,0,1,..WT,compounds,compounds_C00064,51,75,..WT: (nodes: 75; links: 51)
-2.245885336597672,-4.419779731861686,compounds_C00089,0,0,0,0,..WT,compounds,compounds_C00089,51,75,..WT: (nodes: 75; links: 51)
0.9028369864471483,-5.0751218315386115,compounds_C00147,0,0,0,0,..WT,compounds,compounds_C00147,51,75,..WT: (nodes: 75; links: 51)
-0.4945419312108183,-11.931870964810225,compounds_C00148,0,0,0,0,..WT,compounds,compounds_C00148,51,75,..WT: (nodes: 75; links: 51)
4.518586843489847,-13.91915173362983,compounds_C00157,1,1,0,1,..WT,compounds,compounds_C00157,51,75,..WT: (nodes: 75; links: 51)
-4.825038818499798,-11.358302280318537,compounds_C00165,0,0,0,0,..WT,compounds,compounds_C00165,51,75,..WT: (nodes: 75; links: 51)
0.9111403804891391,-12.843156878843581,compounds_C00166,1,0.46153846153846156,0,1,..WT,compounds,compounds_C00166,51,75,..WT: (nodes: 75; links: 51)
-0.9429615857605462,-7.13681778107266,compounds_C00178,1,0.46153846153846156,0,1,..WT,compounds,compounds_C00178,51,75,..WT: (nodes: 75; links: 51)
-1.7792663595131226,-12.417038313082964,compounds_C00233,0,0,0,0,..WT,compounds,compounds_C00233,51,75,..WT: (nodes: 75; links: 51)
-4.491727059411016,-12.21867910884081,compounds_C00270,0,0,0,0,..WT,compounds,compounds_C00270,51,75,..WT: (nodes: 75; links: 51)
3.9773220304493693,-10.222566645600024,compounds_C00272,0,0,0,0,..WT,compounds,compounds_C00272,51,75,..WT: (nodes: 75; links: 51)
3.6569538248853926,-8.405668265801493,compounds_C00299,0,0,0,0,..WT,compounds,compounds_C00299,51,75,..WT: (nodes: 75; links: 51)
5.977293432462345,-10.275478824900574,compounds_C00300,0,0,0,0,..WT,compounds,compounds_C00300,51,75,..WT: (nodes: 75; links: 51)
1.6300571291516093,-8.85385783649581,compounds_C00327,0,0,0,0,..WT,compounds,compounds_C00327,51,75,..WT: (nodes: 75; links: 51)
-0.01591060263570366,-8.98998732995812,compounds_C00330,0,0,0,0,..WT,compounds,compounds_C00330,51,75,..WT: (nodes: 75; links: 51)
-1.8221189335714687,-5.327626182936341,compounds_C00344,0,0,0,0,..WT,compounds,compounds_C00344,51,75,..WT: (nodes: 75; links: 51)
-5.685915514923714,-8.027579550053591,compounds_C00350,1,1,0,1,..WT,compounds,compounds_C00350,51,75,..WT: (nodes: 75; links: 51)
2.837258946249757,-9.062936346833279,compounds_C00380,1,0.6666666666666666,0,1,..WT,compounds,compounds_C00380,51,75,..WT: (nodes: 75; links: 51)
-2.6480714170224844,-5.7389016513100515,compounds_C00408,0,0,0,0,..WT,compounds,compounds_C00408,51,75,..WT: (nodes: 75; links: 51)
-3.7248645199593367,-5.273668761501398,compounds_C00423,0,0,0,0,..WT,compounds,compounds_C00423,51,75,..WT: (nodes: 75; links: 51)
5.441881369491408,-12.482477407969439,compounds_C00475,0,0,0,0,..WT,compounds,compounds_C00475,51,75,..WT: (nodes: 75; links: 51)
4.124563466256968,-14.332391558588542,compounds_C00482,0,0,0,0,..WT,compounds,compounds_C00482,51,75,..WT: (nodes: 75; links: 51)
1.1195968635267577,-4.09841514638188,compounds_C00493,1,1,0,1,..WT,compounds,compounds_C00493,51,75,..WT: (nodes: 75; links: 51)
1.7792861181661452,-6.4154567686644715,compounds_C00526,0,0,0,0,..WT,compounds,compounds_C00526,51,75,..WT: (nodes: 75; links: 51)
-0.01591060263570329,-10.98998732995812,compounds_C00550,0,0,0,0,..WT,compounds,compounds_C00550,51,75,..WT: (nodes: 75; links: 51)
3.9741755337654947,-13.003160511854402,compounds_C00559,0,0,0,0,..WT,compounds,compounds_C00559,51,75,..WT: (nodes: 75; links: 51)
-6.0091146377337505,-9.704495835015667,compounds_C00587,0,0,0,0,..WT,compounds,compounds_C00587,51,75,..WT: (nodes: 75; links: 51)
-0.9429615857605453,-12.843156878843581,compounds_C00624,0,0,0,0,..WT,compounds,compounds_C00624,51,75,..WT: (nodes: 75; links: 51)
-4.156384671528375,-5.6475831013277,compounds_C00632,0,0,0,0,..WT,compounds,compounds_C00632,51,75,..WT: (nodes: 75; links: 51)
-0.8819360064201425,-9.48998732995812,compounds_C00666,0,0,0,0,..WT,compounds,compounds_C00666,51,75,..WT: (nodes: 75; links: 51)
-0.9453569467232418,-8.219075278651701,compounds_C00671,0,0,0,0,..WT,compounds,compounds_C00671,51,75,..WT: (nodes: 75; links: 51)
-3.2597555073692868,-15.03750852694521,compounds_C00755,0,0,0,0,..WT,compounds,compounds_C00755,51,75,..WT: (nodes: 75; links: 51)
