X2,Y2,OTU_2,OTU_1,weight,X1,Y1,cor,group,links,nodes,label,link.gro
8.572244476756641e-16,5.465,micro.16s_g__unclassified_f__Xanthobacteraceae,compounds_C04722,-0.9272727272727271,3.2279343020978817,-4.942466132971033,-,..KO,42,59,..KO: (nodes: 59; links: 42),KO
7.075463447982514,8.73166141419461,micro.16s_g__Marmoricola,compounds_C02710,-0.9636363636363636,3.4481910125020514,-11.989987329958119,-,..KO,42,59,..KO: (nodes: 59; links: 42),KO
5.409399202192157,6.571070896988762,micro.16s_g__unclassified_o__Armatimonadales,compounds_C01451,-0.9636363636363636,3.69304331468793,-14.706305898414843,-,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-7.277055962836148,15.788320104015089,micro.16s_g__Mucilaginibacter,compounds_C00482,0.9515151515151513,4.124563466256968,-14.332391558588542,+,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-6.335217967378205,17.3501830370835,micro.16s_g__Asticcacaulis,compounds_C00330,-0.9757575757575756,-0.01591060263570366,-8.98998732995812,-,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-5.064099630470967,18.658132885112657,micro.16s_g__Gemmatimonas,compounds_C06426,-0.9272727272727271,3.6930433146879276,-5.273668761501396,-,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-1.9593701661158036e-15,20.465,micro.16s_g__Burkholderia-Caballeronia-Paraburkholderia,compounds_C00165,0.9272727272727271,-4.825038818499798,-11.358302280318537,+,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-1.9593701661158036e-15,20.465,micro.16s_g__Burkholderia-Caballeronia-Paraburkholderia,compounds_C14279,0.9272727272727271,-4.825038818499798,-8.621672379597706,+,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-1.9593701661158036e-15,20.465,micro.16s_g__Burkholderia-Caballeronia-Paraburkholderia,compounds_C14828,0.9272727272727271,-4.491727059411014,-7.761295551075428,+,..KO,42,59,..KO: (nodes: 59; links: 42),KO
-1.9593701661158036e-15,20.465,micro.16s_g__Burkholderia-Caballeronia-Paraburkholderia,compounds_C06593,0.9272727272727271,-0.015910602635704638,-4.9899873299581206,+,..KO,42,59,..KO: (nodes: 59; links: 42),KO
3.779001914042381,20.633178777038616,micro.16s_g__Dokdonella,compounds_C00870,0.9272727272727271,4.962760278839469,-9.52864553264161,+,..KO,42,59,..KO: (nodes: 59; links: 42),KO
