,root.Arabidopsis,root.Brachy,root.Medicago,shoot.Arabidopsis,shoot.Brachy,shoot.Medicago,MeanDecreaseAccuracy,MeanDecreaseGini,id,iid
3-dehydroshikimic acid and or isomers,4.93,2.94,3.94,6.56,3.53,3.8,7.23,1.3,3-dehydroshikimic acid and or isomers,1
maleamic acid,4.3,3.62,4.68,6.37,4.04,3.67,7.05,1.3,maleamic acid,2
1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline,6.33,3.48,2.54,1.51,3.41,3.45,6.19,0.95,1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline,3
3-methoxytyramine and or isomers,3.01,3.89,2.32,6.2,3.29,3.51,6.17,1.04,3-methoxytyramine and or isomers,4
S-(5-adenosyl)-methionine,4.35,3.69,1.65,4.96,3.89,3.14,6.06,0.98,S-(5-adenosyl)-methionine,5
N-acetylneuraminic acid,4.99,3.49,3.05,4.23,3.41,3.39,6.01,0.79,N-acetylneuraminic acid,6
glyceraldehyde and/or lactic acid,0.25,3.82,2.66,3.26,4.58,2.67,5.85,0.75,glyceraldehyde and/or lactic acid,7
hexosamine,3.1,3.07,5.36,2.98,2.09,3.36,5.75,0.87,hexosamine,8
thymine,3.85,3.27,4.33,1.76,4.42,4.02,5.75,0.87,thymine,9
5-oxo-proline and/or isomers,3.18,5.43,2.77,1.63,3.52,3.72,5.68,0.78,5-oxo-proline and/or isomers,10
hypoxanthine,3.5,3.52,4.26,4.31,4,3.23,5.65,0.79,hypoxanthine,11
tyramine and or isomers,3.14,4.05,3.37,2.72,3.25,3.8,5.65,0.72,tyramine and or isomers,12
o-acetyl-serine,3.78,4.9,2.75,3.5,3.57,3.59,5.64,0.78,o-acetyl-serine,13
4-aminobutanoic acid,4.11,4.03,3.29,5.04,4.53,3.81,5.54,0.77,4-aminobutanoic acid,14
nicotinamide,3.93,2.3,4.58,3.5,3.21,4.21,5.44,0.67,nicotinamide,15
histamine,4.13,2.99,3.67,4.39,4.18,1.48,5.43,0.78,histamine,16
2-deoxyadenosine,2.99,2.99,2.35,3.03,3.93,4.26,5.34,0.7,2-deoxyadenosine,17
guanine,3.72,3.72,3.46,4.05,3.26,3.64,5.2,0.7,guanine,18
3-methyglutaric acid,4.01,2.83,3.48,1.56,2.86,0.77,5.12,0.57,3-methyglutaric acid,19
2-phosphoglyceric acid,1.94,1.42,2.15,2.32,1.57,5.32,5.11,0.73,2-phosphoglyceric acid,20
sphinganine,0.31,4.76,3.73,2.38,2.46,1.98,5.09,0.65,sphinganine,21
orotic acid,4.67,2.05,3.6,3.4,2.5,3.29,5.02,0.63,orotic acid,22
glucosaminic acid,3.23,3.63,3.26,3.31,2.65,4.11,4.94,0.54,glucosaminic acid,23
4-hydroxy-2-quinolinecarboxylic acid,3.19,2.72,2.39,2.73,4.46,1.62,4.85,0.61,4-hydroxy-2-quinolinecarboxylic acid,24
glucuronic acid,2.03,4.29,2.1,2.65,1.88,3.17,4.85,0.63,glucuronic acid,25
dethiobiotin,3.18,4.66,2.71,2.19,2.61,2.93,4.84,0.57,dethiobiotin,26
glyceric acid and or isomers,1.48,1.72,3.13,2.83,1.93,3.52,4.79,0.45,glyceric acid and or isomers,27
NAD+,2.83,3.73,1.78,-0.26,3.35,1.46,4.76,0.47,NAD+,28
isomer of 3-methoxy-4-hydroxymandelic acid,2.24,3.13,3.32,2.12,3.1,3.52,4.68,0.48,isomer of 3-methoxy-4-hydroxymandelic acid,29
glutamic acid,4,3.01,4.18,2.52,2.52,2.54,4.67,0.57,glutamic acid,30
nicotinamide mononucleotide,3.46,1.37,2.12,2.89,3.31,2.01,4.63,0.49,nicotinamide mononucleotide,31
N-acetyl-serine and/or isomers,4.64,0.11,2.51,3.04,2.73,1.73,4.62,0.59,N-acetyl-serine and/or isomers,32
deoxycytidine,3.73,2.51,4.44,3.32,2.86,1.56,4.57,0.59,deoxycytidine,33
xanthurenic acid,1.95,3.43,3.83,3.1,1.93,3.24,4.55,0.6,xanthurenic acid,34
4-acetamidobutanoic acid,2.51,2.12,3.38,1.93,3.68,1.52,4.49,0.49,4-acetamidobutanoic acid,35
2-amino-2-methylpropanoic acid,1.96,4.06,3.56,2.35,2.98,2.61,4.47,0.56,2-amino-2-methylpropanoic acid,36
fumaric acid,2.98,1.77,1.87,1.91,4.4,2.02,4.47,0.51,fumaric acid,37
arginine,2.68,3.18,2.93,1.97,2.34,3.16,4.43,0.4,arginine,38
vanillic acid,3.26,1.93,3.5,3.09,2.56,2.63,4.43,0.41,vanillic acid,39
pyridoxine,1.82,2.2,4.37,-0.01,1.94,1.92,4.36,0.52,pyridoxine,40
