"","id","group","Alcohols and polyols","Amines","Amino acids, peptides, and analogues","Benzoic acids and derivatives","Dicarboxylic acids and derivatives","Imidazoles","Indolyl carboxylic acids and derivatives","Purines and purine derivatives","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Unknown"
"1","exudate.EOD.Arabidopsis.1.451.1","exudate.EOD.Arabidopsis",0.00485516953183639,0.000461131501277951,0.43292723705861,0.00104744577738927,0.00223163154276468,0.000270233050846381,0.000243264723522777,0.148655769064106,0.000234675614285201,0.00295139595370688,0.406122046181655
"2","exudate.EOD.Arabidopsis.2.452.1","exudate.EOD.Arabidopsis",0.0109443654554477,0.000373648990213853,0.119233078783159,0.00123477128588785,3.91877041567665e-05,0.000587468467687179,0.000495017338136696,0.283919800883198,0.000222343671191497,0.0027100695857256,0.580240247835195
"3","exudate.EOD.Arabidopsis.3.453.1","exudate.EOD.Arabidopsis",0.00930260389414877,1.69095772262305e-05,0.256919847548154,0.000398421598829823,0.000320379327195352,0.00109819241505442,0.000481854754110932,0.302824497811927,0.000136431972128064,0.00104444913310207,0.427456411968124
"4","exudate.EOD.Arabidopsis.4.454.1","exudate.EOD.Arabidopsis",0.011395112228119,1.14579530443045e-05,0.201929050964052,0.000406500419810075,0.000448802824384607,0.00133539610718023,0.000538547104486659,0.385933771687037,0.000182332558379224,0.000653708615770485,0.397165319537737
"5","exudate.EOD.Arabidopsis.5.455.1","exudate.EOD.Arabidopsis",0.0044198897930571,0,0.319623777042011,0.000890127944557126,0.000582087560803807,0.00130211365933101,0.000730131949742891,0.308675255676565,0,0.00421511521642714,0.359561501157505
"6","exudate.EOD.Arabidopsis.6.456.1","exudate.EOD.Arabidopsis",0.0106358283557152,3.20663514970986e-05,0.190149309512462,0.000685593441990439,0.00101266113166238,0.000791825291203972,0.000333576304150334,0.276319774483402,0.000148587324173338,0.00212038621940583,0.517770391584337
"7","exudate.EOD.Arabidopsis.7.457.1","exudate.EOD.Arabidopsis",0.0117752915759909,0.000209130947965212,0.207262577010407,0.00104512575345298,0.000288442378722978,0.00053196449570326,0.000551317964116264,0.396789122790298,0.000102266706100879,0.000917946745647286,0.380526813631595
"8","exudate.EOD.Arabidopsis.8.458.1","exudate.EOD.Arabidopsis",0.0081847526350268,0.000416631372002728,0.131258813818002,0.00143853839949153,0.000584764575811347,0.000500573415699771,0.000390696733447188,0.296165177732478,4.68395198292383e-05,0.0164697884220781,0.544543423376133
"9","exudate.EOD.Brachy.1.433.1","exudate.EOD.Brachy",0.00568739337882673,0.0140534825646945,0.220008234319552,0.00017899085819862,2.39466674760431e-05,0.000682049076039617,0.0168638043011043,0.609378093702545,0.000416448132686353,0.000162236573531209,0.132545320425346
"10","exudate.EOD.Brachy.2.434.1","exudate.EOD.Brachy",0.0052960708636214,0.00575779774093168,0.230729020124986,0.000140381531165096,0,0.0014913556955129,0.0122413881476341,0.575318635043703,0.000502683554059999,7.187347944396e-05,0.168450793818942
"11","exudate.EOD.Brachy.3.436.1","exudate.EOD.Brachy",0.00557958356003608,0.00783676984403426,0.277665625369959,0.000209019552115158,3.33822075323831e-05,0.00138214900601552,0.0120574523980959,0.540934707129634,0.000277530024571064,0.000199425339230201,0.153824355568777
"12","exudate.EOD.Brachy.4.437.1","exudate.EOD.Brachy",0.00452500873428932,0.0195943217150677,0.262455028681512,0.000131887508425998,2.53827187827374e-05,0.000697512921685734,0.00624864784032707,0.59341077106231,0.00056159052413658,0.000177411113509716,0.112172437179954
"13","exudate.EOD.Brachy.5.438.1","exudate.EOD.Brachy",0.00407052953995509,0.0174087911857662,0.321507787134804,0.000113439234216538,0.000160392931108889,0.000214340444106676,0.0311712861522749,0.492935537209084,0.000758660840878463,0.000313916865759857,0.131345318462046
"14","exudate.EOD.Brachy.6.439.1","exudate.EOD.Brachy",0.00557618848660732,0.0123195732634044,0.201575294931087,9.12022422915297e-05,3.00467957967697e-05,0.00100769698077066,0.0180592592752272,0.624567907570955,0.000553282039882641,0.000181350832140469,0.136038197581837
"15","exudate.EOD.Brachy.7.440.1","exudate.EOD.Brachy",0.0209636097563468,0.0303226520033807,0.665118241224716,0.000177319544215295,0,0.003883185191032,0.0254072876390277,0.0850119865085605,0.000145487867253838,0,0.168970230265467
