"","id","group","Alkaloids and derivatives","Benzenoids","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"1","exudate.EOD.Arabidopsis.1.451.1","exudate.EOD.Arabidopsis",0.000278524585157094,0.00104744577738927,0.0313180835501315,0.435158868601374,0.000461131501277951,0.00485516953183639,0.152120662792182,0.374760113660651
"2","exudate.EOD.Arabidopsis.2.452.1","exudate.EOD.Arabidopsis",0.00234108125412006,0.00123477128588785,0.0293007769367224,0.119272266487316,0.000373648990213853,0.0109443654554477,0.287712356274748,0.548820733315544
"3","exudate.EOD.Arabidopsis.3.453.1","exudate.EOD.Arabidopsis",0.000760518608854991,0.000398421598829823,0.0181976718743834,0.257240226875349,1.69095772262305e-05,0.00930260389414877,0.305448994114195,0.408634653457013
"4","exudate.EOD.Arabidopsis.4.454.1","exudate.EOD.Arabidopsis",0.00048157564457381,0.000406500419810075,0.0345231804983131,0.202377853788437,1.14579530443045e-05,0.011395112228119,0.388461423514474,0.362342895953229
"5","exudate.EOD.Arabidopsis.5.455.1","exudate.EOD.Arabidopsis",0.000493801499328836,0.000890127944557126,0.00349292022005524,0.320205864602815,0,0.0044198897930571,0.314922616502066,0.355574779438121
"6","exudate.EOD.Arabidopsis.6.456.1","exudate.EOD.Arabidopsis",0.00189452007226985,0.000685593441990439,0.0244147573857378,0.191161970644124,3.20663514970986e-05,0.0106358283557152,0.279565562298162,0.491609701450503
"7","exudate.EOD.Arabidopsis.7.457.1","exudate.EOD.Arabidopsis",0.000758868724533384,0.00104512575345298,0.020660201034579,0.20755101938913,0.000209130947965212,0.0117752915759909,0.398790351995765,0.359210010578584
"8","exudate.EOD.Arabidopsis.8.458.1","exudate.EOD.Arabidopsis",0.00173554761706703,0.00143853839949153,0.00899942554545426,0.131843578393814,0.000416631372002728,0.0081847526350268,0.313526236303703,0.533855289733441
"9","exudate.EOD.Brachy.1.433.1","exudate.EOD.Brachy",0.000398692735821842,0.00017899085819862,0.0671555145041282,0.220032180987028,0.0140534825646945,0.00568739337882673,0.62708618365322,0.0654075613180821
"10","exudate.EOD.Brachy.2.434.1","exudate.EOD.Brachy",0.000441610749023825,0.000140381531165096,0.0483107376922133,0.230729020124986,0.00575779774093168,0.0052960708636214,0.589123252366294,0.120201128931765
