X1,X2,elements,igraph.degree,igraph.closeness,igraph.betweenness,igraph.cen.degree,group,filed,id,links,nodes,label
-3.0219069408662764,-13.754982554912305,__compounds_C00064,1,1,0,1,..WT,compounds,__compounds_C00064,155,202,..WT: (nodes: 202; links: 155)
-2.251881674828245,-8.18477495681587,__compounds_C00089,0,0,0,0,..WT,compounds,__compounds_C00089,155,202,..WT: (nodes: 202; links: 155)
0.8968406482165754,-8.840117056492796,__compounds_C00147,0,0,0,0,..WT,compounds,__compounds_C00147,155,202,..WT: (nodes: 202; links: 155)
-0.5005382694413912,-15.696866189764409,__compounds_C00148,0,0,0,0,..WT,compounds,__compounds_C00148,155,202,..WT: (nodes: 202; links: 155)
4.512590505259274,-17.684146958584016,__compounds_C00157,4,0.8333333333333334,7,4,..WT,compounds,__compounds_C00157,155,202,..WT: (nodes: 202; links: 155)
-4.831035156730371,-15.12329750527272,__compounds_C00165,0,0,0,0,..WT,compounds,__compounds_C00165,155,202,..WT: (nodes: 202; links: 155)
0.9051440422585663,-16.608152103797764,__compounds_C00166,2,0.12568306010928962,205,2,..WT,compounds,__compounds_C00166,155,202,..WT: (nodes: 202; links: 155)
-0.9489579239911191,-10.901813006026844,__compounds_C00178,1,0.4166666666666667,0,1,..WT,compounds,__compounds_C00178,155,202,..WT: (nodes: 202; links: 155)
-1.7852626977436956,-16.182033538037146,__compounds_C00233,0,0,0,0,..WT,compounds,__compounds_C00233,155,202,..WT: (nodes: 202; links: 155)
-4.497723397641589,-15.983674333794994,__compounds_C00270,0,0,0,0,..WT,compounds,__compounds_C00270,155,202,..WT: (nodes: 202; links: 155)
3.9713256922187963,-13.987561870554208,__compounds_C00272,1,1,0,1,..WT,compounds,__compounds_C00272,155,202,..WT: (nodes: 202; links: 155)
3.6509574866548196,-12.170663490755677,__compounds_C00299,1,1,0,1,..WT,compounds,__compounds_C00299,155,202,..WT: (nodes: 202; links: 155)
5.971297094231772,-14.040474049854758,__compounds_C00300,0,0,0,0,..WT,compounds,__compounds_C00300,155,202,..WT: (nodes: 202; links: 155)
1.6240607909210363,-12.618853061449993,__compounds_C00327,1,1,0,1,..WT,compounds,__compounds_C00327,155,202,..WT: (nodes: 202; links: 155)
-0.021906940866276568,-12.754982554912305,__compounds_C00330,2,0.24,17,2,..WT,compounds,__compounds_C00330,155,202,..WT: (nodes: 202; links: 155)
-1.8281152718020417,-9.092621407890526,__compounds_C00344,0,0,0,0,..WT,compounds,__compounds_C00344,155,202,..WT: (nodes: 202; links: 155)
-5.691911853154287,-11.792574775007775,__compounds_C00350,1,1,0,1,..WT,compounds,__compounds_C00350,155,202,..WT: (nodes: 202; links: 155)
